Componente,ShrinkPacker (PT),TrayPacker (EN),Wraparound (EN),NatureMulti (EN),Packer_EN (EN)
Título do Módulo,5.11 Ligar máquina,5.8 Recommissioning,5.9 Recommissioning,Recommissioning,Taking out...
Ação,Ligar a máquina,Recommissioning,Recommissioning,Recommissioning,--
