Componente,ShrinkPacker (PT),TrayPacker (EN),Wraparound (EN),NatureMulti (EN),Packer_EN (EN)
Botão de Emergência,5.2.1 Botão de parada...,5.2.1 Emergency stop...,5.2.1 Emergency stop...,5.2.1 Emergency stop...,5.2.1 Emergency stop...
Coberturas (Hoods/Turrets),5.2.2 Coberturas,5.2.2 Hoods,5.2.2 Hoods,--,--
Portas de Segurança,5.2.3 Portas de proteção...,5.2.3 Safety door...,5.2.3 Safety doors...,5.2.2 Safety doors,5.2.2 Safety doors
Cerca / Grade,--,5.2.4 Escudo de proteção...,5.2.3 Safety door in fence,--,--
Cortina de Luz,--,--,--,5.2.4 Safety light curtain,--
Chave de Reparo,--,5.2.5 Repair switch,5.2.4 Repair switch,5.2.5 Repair switch,--
