"Machine","Signal Lamp / Lâmpada","Signal Horn / Buzina"
"CarryStripPacker","5.3.1","--"
"Folienrollenhubwagen","--","--"
"Innopack_Packer_EN","5.3.1","5.3.2"
"NatureMultiPacker","--","--"
"RS2","5.3.1 | 5.3.2","--"
"ShrinkPacker","5.3.1 | 5.3.2","--"
"TrayPacker","5.3.1","5.3.2"
"TrayShrinkPacker","5.3.1","5.3.2"
"WraparoundPacker","5.3.1","5.3.2"
"WraparoundShrinkPacker","5.3.1","5.3.2"
"Zufuhrband","--","--"
